0.240625,tensor(3.8447, dtype=torch.float64, grad_fn=<AddBackward0>)
0.24375000000000002,tensor(3.8535, dtype=torch.float64, grad_fn=<AddBackward0>)
0.221875,tensor(3.7908, dtype=torch.float64, grad_fn=<AddBackward0>)
0.221875,tensor(3.7822, dtype=torch.float64, grad_fn=<AddBackward0>)
0.278125,tensor(3.8015, dtype=torch.float64, grad_fn=<AddBackward0>)
0.275,tensor(3.8231, dtype=torch.float64, grad_fn=<AddBackward0>)
0.29375,tensor(3.8457, dtype=torch.float64, grad_fn=<AddBackward0>)
0.36875,tensor(3.7755, dtype=torch.float64, grad_fn=<AddBackward0>)
0.36250000000000004,tensor(3.7450, dtype=torch.float64, grad_fn=<AddBackward0>)
0.365625,tensor(3.7471, dtype=torch.float64, grad_fn=<AddBackward0>)
0.40625,tensor(3.6661, dtype=torch.float64, grad_fn=<AddBackward0>)
0.35,tensor(3.7004, dtype=torch.float64, grad_fn=<AddBackward0>)
0.315625,tensor(3.7613, dtype=torch.float64, grad_fn=<AddBackward0>)
0.36562500000000003,tensor(3.7543, dtype=torch.float64, grad_fn=<AddBackward0>)
0.38125,tensor(3.7318, dtype=torch.float64, grad_fn=<AddBackward0>)
0.33437500000000003,tensor(3.7681, dtype=torch.float64, grad_fn=<AddBackward0>)
0.321875,tensor(3.7704, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3625,tensor(3.6900, dtype=torch.float64, grad_fn=<AddBackward0>)
0.32500000000000007,tensor(3.7029, dtype=torch.float64, grad_fn=<AddBackward0>)
0.33749999999999997,tensor(3.7178, dtype=torch.float64, grad_fn=<AddBackward0>)
0.36874999999999997,tensor(3.7702, dtype=torch.float64, grad_fn=<AddBackward0>)
0.39062500000000006,tensor(3.7412, dtype=torch.float64, grad_fn=<AddBackward0>)
0.42812500000000003,tensor(3.6829, dtype=torch.float64, grad_fn=<AddBackward0>)
0.396875,tensor(3.6982, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3875,tensor(3.6988, dtype=torch.float64, grad_fn=<AddBackward0>)
0.38437499999999997,tensor(3.7439, dtype=torch.float64, grad_fn=<AddBackward0>)
0.36874999999999997,tensor(3.7826, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3375,tensor(3.7448, dtype=torch.float64, grad_fn=<AddBackward0>)
0.365625,tensor(3.6711, dtype=torch.float64, grad_fn=<AddBackward0>)
0.43124999999999997,tensor(3.6157, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4375,tensor(3.6178, dtype=torch.float64, grad_fn=<AddBackward0>)
0.39999999999999997,tensor(3.6782, dtype=torch.float64, grad_fn=<AddBackward0>)
0.353125,tensor(3.7212, dtype=torch.float64, grad_fn=<AddBackward0>)
0.34687500000000004,tensor(3.7712, dtype=torch.float64, grad_fn=<AddBackward0>)
0.359375,tensor(3.7718, dtype=torch.float64, grad_fn=<AddBackward0>)
0.375,tensor(3.7237, dtype=torch.float64, grad_fn=<AddBackward0>)
0.39375,tensor(3.6778, dtype=torch.float64, grad_fn=<AddBackward0>)
0.375,tensor(3.6651, dtype=torch.float64, grad_fn=<AddBackward0>)
0.41562499999999997,tensor(3.6363, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45625,tensor(3.5615, dtype=torch.float64, grad_fn=<AddBackward0>)
0.396875,tensor(3.6311, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4,tensor(3.6936, dtype=torch.float64, grad_fn=<AddBackward0>)
0.42812500000000003,tensor(3.6563, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4124999999999999,tensor(3.6509, dtype=torch.float64, grad_fn=<AddBackward0>)
0.428125,tensor(3.6435, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4125,tensor(3.6678, dtype=torch.float64, grad_fn=<AddBackward0>)
0.41250000000000003,tensor(3.6960, dtype=torch.float64, grad_fn=<AddBackward0>)
0.428125,tensor(3.7246, dtype=torch.float64, grad_fn=<AddBackward0>)
0.41250000000000003,tensor(3.7093, dtype=torch.float64, grad_fn=<AddBackward0>)
0.440625,tensor(3.6854, dtype=torch.float64, grad_fn=<AddBackward0>)
0.43750000000000006,tensor(3.6842, dtype=torch.float64, grad_fn=<AddBackward0>)
0.425,tensor(3.6357, dtype=torch.float64, grad_fn=<AddBackward0>)
0.43124999999999997,tensor(3.6337, dtype=torch.float64, grad_fn=<AddBackward0>)
0.425,tensor(3.6532, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4375,tensor(3.6352, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4125,tensor(3.6406, dtype=torch.float64, grad_fn=<AddBackward0>)
0.403125,tensor(3.6402, dtype=torch.float64, grad_fn=<AddBackward0>)
0.425,tensor(3.6041, dtype=torch.float64, grad_fn=<AddBackward0>)
0.41562499999999997,tensor(3.5916, dtype=torch.float64, grad_fn=<AddBackward0>)
0.428125,tensor(3.6428, dtype=torch.float64, grad_fn=<AddBackward0>)
0.47812499999999997,tensor(3.6228, dtype=torch.float64, grad_fn=<AddBackward0>)
0.453125,tensor(3.5535, dtype=torch.float64, grad_fn=<AddBackward0>)
0.41250000000000003,tensor(3.6037, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45625,tensor(3.6618, dtype=torch.float64, grad_fn=<AddBackward0>)
0.465625,tensor(3.6552, dtype=torch.float64, grad_fn=<AddBackward0>)
0.44687499999999997,tensor(3.6480, dtype=torch.float64, grad_fn=<AddBackward0>)
0.434375,tensor(3.6644, dtype=torch.float64, grad_fn=<AddBackward0>)
0.41875,tensor(3.6830, dtype=torch.float64, grad_fn=<AddBackward0>)
0.41875,tensor(3.6399, dtype=torch.float64, grad_fn=<AddBackward0>)
0.434375,tensor(3.6395, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45625000000000004,tensor(3.6549, dtype=torch.float64, grad_fn=<AddBackward0>)
0.465625,tensor(3.6018, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4625,tensor(3.6264, dtype=torch.float64, grad_fn=<AddBackward0>)
0.428125,tensor(3.6689, dtype=torch.float64, grad_fn=<AddBackward0>)
0.43125,tensor(3.6186, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4375,tensor(3.5925, dtype=torch.float64, grad_fn=<AddBackward0>)
0.421875,tensor(3.6501, dtype=torch.float64, grad_fn=<AddBackward0>)
0.44062500000000004,tensor(3.6022, dtype=torch.float64, grad_fn=<AddBackward0>)
0.409375,tensor(3.6304, dtype=torch.float64, grad_fn=<AddBackward0>)
0.390625,tensor(3.7158, dtype=torch.float64, grad_fn=<AddBackward0>)
0.40625,tensor(3.6409, dtype=torch.float64, grad_fn=<AddBackward0>)
0.42812500000000003,tensor(3.5820, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45000000000000007,tensor(3.5879, dtype=torch.float64, grad_fn=<AddBackward0>)
0.43125,tensor(3.6678, dtype=torch.float64, grad_fn=<AddBackward0>)
0.421875,tensor(3.6976, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45625000000000004,tensor(3.6409, dtype=torch.float64, grad_fn=<AddBackward0>)
0.5125,tensor(3.5388, dtype=torch.float64, grad_fn=<AddBackward0>)
0.515625,tensor(3.5490, dtype=torch.float64, grad_fn=<AddBackward0>)
0.46875,tensor(3.6047, dtype=torch.float64, grad_fn=<AddBackward0>)
0.459375,tensor(3.6070, dtype=torch.float64, grad_fn=<AddBackward0>)
0.47500000000000003,tensor(3.6250, dtype=torch.float64, grad_fn=<AddBackward0>)
0.478125,tensor(3.5676, dtype=torch.float64, grad_fn=<AddBackward0>)
0.49375,tensor(3.5711, dtype=torch.float64, grad_fn=<AddBackward0>)
0.46249999999999997,tensor(3.6038, dtype=torch.float64, grad_fn=<AddBackward0>)
0.459375,tensor(3.5827, dtype=torch.float64, grad_fn=<AddBackward0>)
0.48437500000000006,tensor(3.5762, dtype=torch.float64, grad_fn=<AddBackward0>)
0.459375,tensor(3.6315, dtype=torch.float64, grad_fn=<AddBackward0>)
0.46562499999999996,tensor(3.6611, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45312500000000006,tensor(3.6563, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45625,tensor(3.5882, dtype=torch.float64, grad_fn=<AddBackward0>)
0.465625,tensor(3.5642, dtype=torch.float64, grad_fn=<AddBackward0>)
0.47500000000000003,tensor(3.6199, dtype=torch.float64, grad_fn=<AddBackward0>)
0.475,tensor(3.6015, dtype=torch.float64, grad_fn=<AddBackward0>)
0.45625,tensor(3.5981, dtype=torch.float64, grad_fn=<AddBackward0>)
0.44375,tensor(3.6176, dtype=torch.float64, grad_fn=<AddBackward0>)
0.478125,tensor(3.5962, dtype=torch.float64, grad_fn=<AddBackward0>)
0.5187499999999999,tensor(3.5980, dtype=torch.float64, grad_fn=<AddBackward0>)
