0.23437499999999997,tensor(3.8409, dtype=torch.float64, grad_fn=<AddBackward0>)
0.23125,tensor(3.8045, dtype=torch.float64, grad_fn=<AddBackward0>)
0.24375000000000002,tensor(3.8077, dtype=torch.float64, grad_fn=<AddBackward0>)
0.253125,tensor(3.7496, dtype=torch.float64, grad_fn=<AddBackward0>)
0.28125,tensor(3.7641, dtype=torch.float64, grad_fn=<AddBackward0>)
0.30312500000000003,tensor(3.7584, dtype=torch.float64, grad_fn=<AddBackward0>)
0.33125,tensor(3.7600, dtype=torch.float64, grad_fn=<AddBackward0>)
0.315625,tensor(3.8256, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3125,tensor(3.8146, dtype=torch.float64, grad_fn=<AddBackward0>)
0.35937500000000006,tensor(3.7283, dtype=torch.float64, grad_fn=<AddBackward0>)
0.32500000000000007,tensor(3.7144, dtype=torch.float64, grad_fn=<AddBackward0>)
0.35,tensor(3.7256, dtype=torch.float64, grad_fn=<AddBackward0>)
0.39375,tensor(3.7248, dtype=torch.float64, grad_fn=<AddBackward0>)
0.35312499999999997,tensor(3.7678, dtype=torch.float64, grad_fn=<AddBackward0>)
0.325,tensor(3.8127, dtype=torch.float64, grad_fn=<AddBackward0>)
0.34374999999999994,tensor(3.7114, dtype=torch.float64, grad_fn=<AddBackward0>)
0.36562500000000003,tensor(3.6847, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3625,tensor(3.7663, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3656249999999999,tensor(3.6883, dtype=torch.float64, grad_fn=<AddBackward0>)
0.32499999999999996,tensor(3.7156, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3125,tensor(3.7629, dtype=torch.float64, grad_fn=<AddBackward0>)
0.35937499999999994,tensor(3.7271, dtype=torch.float64, grad_fn=<AddBackward0>)
0.346875,tensor(3.7485, dtype=torch.float64, grad_fn=<AddBackward0>)
0.35625,tensor(3.7225, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4,tensor(3.6966, dtype=torch.float64, grad_fn=<AddBackward0>)
0.4125,tensor(3.7130, dtype=torch.float64, grad_fn=<AddBackward0>)
0.396875,tensor(3.7116, dtype=torch.float64, grad_fn=<AddBackward0>)
0.375,tensor(3.6974, dtype=torch.float64, grad_fn=<AddBackward0>)
0.38125,tensor(3.7057, dtype=torch.float64, grad_fn=<AddBackward0>)
0.378125,tensor(3.7080, dtype=torch.float64, grad_fn=<AddBackward0>)
0.3875,tensor(3.7025, dtype=torch.float64, grad_fn=<AddBackward0>)
0.403125,tensor(3.6864, dtype=torch.float64, grad_fn=<AddBackward0>)
